duration,waiting,kind
3.600,79,long
1.800,54,short
3.333,74,long
2.283,62,short
4.533,85,long
2.883,55,short
4.700,88,long
3.600,85,long
1.950,51,short
4.350,85,long
1.833,54,short
3.917,84,long
4.200,78,long
1.750,47,short
4.700,83,long
2.167,52,short
1.750,62,short
4.800,84,long
1.600,52,short
4.250,79,long
1.800,51,short
1.750,47,short
3.450,78,long
3.067,69,long
4.533,74,long
3.600,83,long
1.967,55,short
4.083,76,long
3.850,78,long
4.433,79,long
4.300,73,long
4.467,77,long
3.367,66,long
4.033,80,long
3.833,74,long
2.017,52,short
1.867,48,short
4.833,80,long
1.833,59,short
4.783,90,long
4.350,80,long
1.883,58,short
4.567,84,long
1.750,58,short
4.533,73,long
3.317,83,long
3.833,64,long
2.100,53,short
4.633,82,long
2.000,59,short
4.800,75,long
4.716,90,long
1.833,54,short
4.833,80,long
1.733,54,short
4.883,83,long
3.717,71,long
1.667,64,short
4.567,77,long
4.317,81,long
2.233,59,short
4.500,84,long
1.750,48,short
4.800,82,long
1.817,60,short
4.400,92,long
4.167,78,long
4.700,78,long
2.067,65,short
4.700,73,long
4.033,82,long
1.967,56,short
4.500,79,long
4.000,71,long
1.983,62,short
5.067,76,long
2.017,60,short
4.567,78,long
3.883,76,long
3.600,83,long
4.133,75,long
4.333,82,long
4.100,70,long
2.633,65,short
4.067,73,long
4.933,88,long
3.950,76,long
4.517,80,long
2.167,48,short
4.000,86,long
2.200,60,short
4.333,90,long
1.867,50,short
4.817,78,long
1.833,63,short
4.300,72,long
4.667,84,long
3.750,75,long
1.867,51,short
4.900,82,long
2.483,62,short
4.367,88,long
2.100,49,short
4.500,83,long
4.050,81,long
1.867,47,short
4.700,84,long
1.783,52,short
4.850,86,long
3.683,81,long
4.733,75,long
2.300,59,short
4.900,89,long
4.417,79,long
1.700,59,short
4.633,81,long
2.317,50,short
4.600,85,long
1.817,59,short
4.417,87,long
2.617,53,short
4.067,69,long
4.250,77,long
1.967,56,short
4.600,88,long
3.767,81,long
1.917,45,short
4.500,82,long
2.267,55,short
4.650,90,long
1.867,45,short
4.167,83,long
2.800,56,short
4.333,89,long
1.833,46,short
4.383,82,long
1.883,51,short
4.933,86,long
2.033,53,short
3.733,79,long
4.233,81,long
2.233,60,short
4.533,82,long
4.817,77,long
4.333,76,long
1.983,59,short
4.633,80,long
2.017,49,short
5.100,96,long
1.800,53,short
5.033,77,long
4.000,77,long
2.400,65,short
4.600,81,long
3.567,71,long
4.000,70,long
4.500,81,long
4.083,93,long
1.800,53,short
3.967,89,long
2.200,45,short
4.150,86,long
2.000,58,short
3.833,78,long
3.500,66,long
4.583,76,long
2.367,63,short
5.000,88,long
1.933,52,short
4.617,93,long
1.917,49,short
2.083,57,short
4.583,77,long
3.333,68,long
4.167,81,long
4.333,81,long
4.500,73,long
2.417,50,short
4.000,85,long
4.167,74,long
1.883,55,short
4.583,77,long
4.250,83,long
3.767,83,long
2.033,51,short
4.433,78,long
4.083,84,long
1.833,46,short
4.417,83,long
2.183,55,short
4.800,81,long
1.833,57,short
4.800,76,long
4.100,84,long
3.966,77,long
4.233,81,long
3.500,87,long
4.366,77,long
2.250,51,short
4.667,78,long
2.100,60,short
4.350,82,long
4.133,91,long
1.867,53,short
4.600,78,long
1.783,46,short
4.367,77,long
3.850,84,long
1.933,49,short
4.500,83,long
2.383,71,short
4.700,80,long
1.867,49,short
3.833,75,long
3.417,64,long
4.233,76,long
2.400,53,short
4.800,94,long
2.000,55,short
4.150,76,long
1.867,50,short
4.267,82,long
1.750,54,short
4.483,75,long
4.000,78,long
4.117,79,long
4.083,78,long
4.267,78,long
3.917,70,long
4.550,79,long
4.083,70,long
2.417,54,short
4.183,86,long
2.217,50,short
4.450,90,long
1.883,54,short
1.850,54,short
4.283,77,long
3.950,79,long
2.333,64,short
4.150,75,long
2.350,47,short
4.933,86,long
2.900,63,short
4.583,85,long
3.833,82,long
2.083,57,short
4.367,82,long
2.133,67,short
4.350,74,long
2.200,54,short
4.450,83,long
3.567,73,long
4.500,73,long
4.150,88,long
3.817,80,long
3.917,71,long
4.450,83,long
2.000,56,short
4.283,79,long
4.767,78,long
4.533,84,long
1.850,58,short
4.250,83,long
1.983,43,short
2.250,60,short
4.750,75,long
4.117,81,long
2.150,46,short
4.417,90,long
1.817,46,short
4.467,74,long
