fold,method,test_loglik
0,Parzen,-4.413333423302212
0,k-NN,-4.855732530784699
0,GMM,-4.155222405325558
0,PNN,-4.429289391548401
1,Parzen,-4.4590423776959565
1,k-NN,-4.868666860324764
1,GMM,-4.271910245198406
1,PNN,-4.451969826255753
2,Parzen,-4.5110361461692206
2,k-NN,-5.350687752944505
2,GMM,-4.216181942316986
2,PNN,-4.5198148452940154
3,Parzen,-4.404775362852599
3,k-NN,-4.92579502717522
3,GMM,-4.067059415209683
3,PNN,-4.402720193964333
4,Parzen,-4.441445548951179
4,k-NN,-4.851820448284712
4,GMM,-4.071149541340167
4,PNN,-4.43711175788563
5,Parzen,-4.505066946636251
5,k-NN,-4.808865179536651
5,GMM,-4.25415909298378
5,PNN,-4.501701883533293
6,Parzen,-4.404856184037636
6,k-NN,-4.929562163202224
6,GMM,-3.9746968082182925
6,PNN,-4.402771085490706
7,Parzen,-4.367189833628339
7,k-NN,-4.701553964423383
7,GMM,-4.106751106294217
7,PNN,-4.3647576766373835
8,Parzen,-4.481052402118814
8,k-NN,-5.215242169552823
8,GMM,-4.32455338386154
8,PNN,-4.4304944941452575
9,Parzen,-4.685406691150105
9,k-NN,-5.495039710718062
9,GMM,-4.58859539034355
9,PNN,-4.677437499613853
