k,seed,ise,test_loglik
3,20252026,0.03719249114025597,-3.7233439669336836
3,20252027,0.03374007550756423,-3.6823663177802333
3,20252028,0.040531666926871185,-3.6747499513152255
3,20252029,0.03463750186354094,-3.666872501289019
3,20252030,0.0334265833327489,-3.6918486464685274
5,20252026,0.012072760596997722,-3.6127959222707378
5,20252027,0.011484643410632578,-3.6034658498753553
5,20252028,0.01351204335637443,-3.594893810151969
5,20252029,0.010606075242776849,-3.580594878108113
5,20252030,0.013846578634692078,-3.610430949709731
10,20252026,0.004731887190966109,-3.5728448221069367
10,20252027,0.0044404548616989925,-3.557265103992513
10,20252028,0.004262533731623093,-3.553724342337627
10,20252029,0.004437300811010498,-3.5512549243990033
10,20252030,0.005300476938005916,-3.5640626385950203
20,20252026,0.0028543320001066107,-3.579395266931209
20,20252027,0.0027533986476568,-3.5756586683108167
20,20252028,0.002499402334883011,-3.576429946299985
20,20252029,0.002852946983874868,-3.5757529214822945
20,20252030,0.002817904157669857,-3.5688170343939802
35,20252026,0.0030561744478838438,-3.60841600434074
35,20252027,0.0030239367837540583,-3.616706018612412
35,20252028,0.002605826211270332,-3.6063262712147908
35,20252029,0.002960547834820707,-3.6093667307636537
35,20252030,0.0028348257222271154,-3.6018983485156433
50,20252026,0.003776329028784228,-3.643948554026222
50,20252027,0.0037164421285687233,-3.6503774154096664
50,20252028,0.003309402656317184,-3.643628056209286
50,20252029,0.003560565320314391,-3.6412512993944666
50,20252030,0.003427096487307226,-3.6343327394439067
75,20252026,0.005133865435700492,-3.694796472015517
75,20252027,0.005026850511099497,-3.7038256140962753
75,20252028,0.00466486460820763,-3.6926406818699395
75,20252029,0.004902253391689053,-3.6906537384321845
75,20252030,0.004638245291398405,-3.683548265903445
100,20252026,0.0064994879190651235,-3.7430637058433796
100,20252027,0.006348094421374578,-3.749194837524778
100,20252028,0.005971223694797372,-3.7390860478775787
100,20252029,0.006320539152498076,-3.7414718856206264
100,20252030,0.005928879477049436,-3.72620968385862
