seed,variant,ise,test_loglik,integral
20252026,with_constraint,0.0029943424032065832,-3.5214075809218186,1.0346899032592773
20252026,without_constraint,0.003455896085263227,-3.5492893483648227,1.033565640449524
20252027,with_constraint,0.0031310648960933105,-3.55084523628973,1.0014570951461792
20252027,without_constraint,0.0033926120552564506,-3.540932179708595,1.047148585319519
20252028,with_constraint,0.0029791063332813184,-3.553154481059862,0.9986417293548584
20252028,without_constraint,0.002919218343757527,-3.5186944561280793,1.0688774585723877
20252029,with_constraint,0.0031929194455743875,-3.5469212049084122,1.0008329153060913
20252029,without_constraint,0.003180074814580316,-3.527016885936497,1.0472536087036133
20252030,with_constraint,0.002834108679953885,-3.525288845842604,1.008927822113037
20252030,without_constraint,0.0029162239635119147,-3.5150252190712203,1.0492674112319946
20252031,with_constraint,0.0036750428742808303,-3.5557557452546265,1.0043702125549316
20252031,without_constraint,0.0038260349815349053,-3.563601377228844,1.014172077178955
20252032,with_constraint,0.0031112637886268313,-3.5466075188611925,1.0064886808395386
20252032,without_constraint,0.003224289796310819,-3.533513623951299,1.049479603767395
20252033,with_constraint,0.0027836529266103767,-3.541742032813553,1.0039881467819214
20252033,without_constraint,0.002829215615947747,-3.5225731854262285,1.0527069568634033
20252034,with_constraint,0.0030920886491090102,-3.547395474495521,1.013765573501587
20252034,without_constraint,0.0032819776138496557,-3.544083701172325,1.0451072454452515
20252035,with_constraint,0.0033687950504311063,-3.537253103636543,0.9996136426925659
20252035,without_constraint,0.003338193844923597,-3.5158499907196266,1.0458641052246094
